更新时间: 2026-04-18 15:56:13（北京时间）

更新时间,#genre#
2026-04-18 15:56:13,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
江苏卫视,http://171.213.155.205:9100/rtp/239.94.0.62:5140$四川电信
江苏卫视,http://180.173.121.65:9999/rtp/233.18.204.85:5140$上海市电信
东方卫视,http://171.213.155.205:9100/rtp/239.94.0.119:5140$四川电信
东方卫视,http://171.213.155.205:9100/rtp/239.94.0.64:5140$四川电信
东方卫视,http://180.173.121.65:9999/rtp/233.18.204.224:5140$上海市电信
东方卫视,http://180.173.121.65:9999/rtp/233.18.204.51:5140$上海市电信
深圳卫视,http://171.213.155.205:9100/rtp/239.94.0.113:5140$四川电信
深圳卫视,http://171.213.155.205:9100/rtp/239.94.0.66:5140$四川电信
深圳卫视,http://180.173.121.65:9999/rtp/233.18.204.219:5140$上海市电信
深圳卫视,http://180.173.121.65:9999/rtp/233.18.204.89:5140$上海市电信
北京卫视,http://171.213.155.205:9100/rtp/239.94.0.111:5140$四川电信
北京卫视,http://171.213.155.205:9100/rtp/239.94.0.112:5140$四川电信
北京卫视,http://171.213.155.205:9100/rtp/239.94.0.65:5140$四川电信
北京卫视,http://180.173.121.65:9999/rtp/233.18.204.209:5140$上海市电信
北京卫视,http://180.173.121.65:9999/rtp/233.18.204.87:5140$上海市电信
广东卫视,http://171.213.155.205:9100/rtp/239.94.0.114:5140$四川电信
广东卫视,http://171.213.155.205:9100/rtp/239.94.0.67:5140$四川电信
广东卫视,http://180.173.121.65:9999/rtp/233.18.204.218:5140$上海市电信
广东卫视,http://180.173.121.65:9999/rtp/233.18.204.88:5140$上海市电信
广西卫视,http://171.213.155.205:9100/rtp/239.94.0.89:5140$四川电信
广西卫视,http://180.173.121.65:9999/rtp/233.18.204.107:5140$上海市电信
东南卫视,http://171.213.155.205:9100/rtp/239.94.0.80:5140$四川电信
东南卫视,http://180.173.121.65:9999/rtp/233.18.204.94:5140$上海市电信
河北卫视,http://171.213.155.205:9100/rtp/239.94.0.86:5140$四川电信
河北卫视,http://180.173.121.65:9999/rtp/233.18.204.103:5140$上海市电信
河南卫视,http://171.213.155.205:9100/rtp/239.94.0.88:5140$四川电信
河南卫视,http://180.173.121.65:9999/rtp/233.18.204.105:5140$上海市电信
湖北卫视,http://171.213.155.205:9100/rtp/239.94.0.84:5140$四川电信
湖北卫视,http://180.173.121.65:9999/rtp/233.18.204.92:5140$上海市电信
江西卫视,http://171.213.155.205:9100/rtp/239.94.0.79:5140$四川电信
江西卫视,http://180.173.121.65:9999/rtp/233.18.204.95:5140$上海市电信
四川卫视,http://171.213.155.205:9100/rtp/239.94.0.115:5140$四川电信
四川卫视,http://171.213.155.205:9100/rtp/239.94.0.60:5140$四川电信
四川卫视,http://171.213.155.205:9100/rtp/239.94.0.59:5140$四川电信
四川卫视,http://180.173.121.65:9999/rtp/233.18.204.225:5140$上海市电信
四川卫视,http://180.173.121.65:9999/rtp/233.18.204.99:5140$上海市电信
重庆卫视,http://171.213.155.205:9100/rtp/239.94.0.82:5140$四川电信
重庆卫视,http://180.173.121.65:9999/rtp/233.18.204.100:5140$上海市电信
贵州卫视,http://171.213.155.205:9100/rtp/239.94.0.83:5140$四川电信
贵州卫视,http://180.173.121.65:9999/rtp/233.18.204.101:5140$上海市电信
云南卫视,http://171.213.155.205:9100/rtp/239.94.0.90:5140$四川电信
云南卫视,http://180.173.121.65:9999/rtp/233.18.204.106:5140$上海市电信
天津卫视,http://171.213.155.205:9100/rtp/239.94.0.68:5140$四川电信
天津卫视,http://180.173.121.65:9999/rtp/233.18.204.97:5140$上海市电信
安徽卫视,http://171.213.155.205:9100/rtp/239.94.0.85:5140$四川电信
安徽卫视,http://180.173.121.65:9999/rtp/233.18.204.93:5140$上海市电信
山东卫视,http://171.213.155.205:9100/rtp/239.94.0.120:5140$四川电信
山东卫视,http://171.213.155.205:9100/rtp/239.94.0.69:5140$四川电信
山东卫视,http://180.173.121.65:9999/rtp/233.18.204.228:5140$上海市电信
山东卫视,http://180.173.121.65:9999/rtp/233.18.204.91:5140$上海市电信
辽宁卫视,http://171.213.155.205:9100/rtp/239.94.0.101:5140$四川电信
辽宁卫视,http://180.173.121.65:9999/rtp/233.18.204.96:5140$上海市电信
黑龙江卫视,http://171.213.155.205:9100/rtp/239.94.0.81:5140$四川电信
黑龙江卫视,http://180.173.121.65:9999/rtp/233.18.204.90:5140$上海市电信
吉林卫视,http://171.213.155.205:9100/rtp/239.94.0.91:5140$四川电信
吉林卫视,http://180.173.121.65:9999/rtp/233.18.204.108:5140$上海市电信
内蒙古卫视,http://180.173.121.65:9999/rtp/233.18.204.217:5140$上海市电信
宁夏卫视,http://171.213.155.205:9100/rtp/239.94.0.96:5140$四川电信
宁夏卫视,http://180.173.121.65:9999/rtp/233.18.204.230:5140$上海市电信
山西卫视,http://180.173.121.65:9999/rtp/233.18.204.211:5140$上海市电信
陕西卫视,http://171.213.155.205:9100/rtp/239.94.0.92:5140$四川电信
陕西卫视,http://180.173.121.65:9999/rtp/233.18.204.223:5140$上海市电信
甘肃卫视,http://171.213.155.205:9100/rtp/239.94.0.99:5140$四川电信
甘肃卫视,http://180.173.121.65:9999/rtp/233.18.204.110:5140$上海市电信
青海卫视,http://180.173.121.65:9999/rtp/233.18.204.112:5140$上海市电信
新疆卫视,http://171.213.155.205:9100/rtp/239.94.0.98:5140$四川电信
新疆卫视,http://180.173.121.65:9999/rtp/233.18.204.220:5140$上海市电信
西藏卫视,http://171.213.155.205:9100/rtp/239.94.0.97:5140$四川电信
西藏卫视,http://180.173.121.65:9999/rtp/233.18.204.222:5140$上海市电信
三沙卫视,http://180.173.121.65:9999/rtp/233.18.204.172:5140$上海市电信
兵团卫视,http://171.213.155.205:9100/rtp/239.94.0.102:5140$四川电信
兵团卫视,http://180.173.121.65:9999/rtp/233.18.204.221:5140$上海市电信
康巴卫视,http://171.213.155.205:9100/rtp/239.94.0.78:5140$四川电信
中国教育1台,http://171.213.155.205:9100/rtp/239.94.1.2:5140$四川电信
中国教育1台,http://180.173.121.65:9999/rtp/233.18.204.98:5140$上海市电信
中国教育4台,http://171.213.155.205:9100/rtp/239.94.1.20:5140$四川电信
中国教育4台,http://180.173.121.65:9999/rtp/233.18.204.111:5140$上海市电信
早期教育,http://180.173.121.65:9999/rtp/233.18.204.187:5140$上海市电信

数字频道,#genre#
CHC动作电影,http://171.213.155.205:9100/rtp/239.94.1.175:5140$四川电信
CHC动作电影,http://180.173.121.65:9999/rtp/233.18.204.174:5140$上海市电信
CHC家庭影院,http://171.213.155.205:9100/rtp/239.94.1.173:5140$四川电信
CHC家庭影院,http://180.173.121.65:9999/rtp/233.18.204.173:5140$上海市电信
CHC影迷电影,http://171.213.155.205:9100/rtp/239.94.1.174:5140$四川电信
CHC影迷电影,http://180.173.121.65:9999/rtp/233.18.204.175:5140$上海市电信
星空卫视,http://171.213.155.205:9100/rtp/239.94.2.54:5140$四川电信
星空卫视,http://171.213.155.205:9100/rtp/239.94.2.53:5140$四川电信
ChannelV,http://171.213.155.205:9100/rtp/239.94.2.55:5140$四川电信
ChannelV,http://171.213.155.205:9100/rtp/239.94.2.56:5140$四川电信
凤凰卫视中文台,http://171.213.155.205:9100/rtp/239.94.2.51:5140$四川电信
凤凰卫视中文台,http://171.213.155.205:9100/rtp/239.94.2.52:5140$四川电信
凤凰卫视资讯台,http://171.213.155.205:9100/rtp/239.94.2.49:5140$四川电信
凤凰卫视资讯台,http://171.213.155.205:9100/rtp/239.94.2.50:5140$四川电信
求索纪录,http://171.213.155.205:9100/rtp/239.94.1.142:5140$四川电信
金鹰纪实,http://171.213.155.205:9100/rtp/239.94.1.1:5140$四川电信
金鹰纪实,http://180.173.121.65:9999/rtp/233.18.204.104:5140$上海市电信
纪实科教,http://171.213.155.205:9100/rtp/239.94.0.109:5140$四川电信
五星体育,http://180.173.121.65:9999/rtp/233.18.204.58:5140$上海市电信
快乐垂钓,http://171.213.155.205:9100/rtp/239.94.1.153:5140$四川电信
快乐垂钓,http://180.173.121.65:9999/rtp/233.18.204.42:5140$上海市电信
茶频道,http://171.213.155.205:9100/rtp/239.94.1.154:5140$四川电信
茶频道,http://180.173.121.65:9999/rtp/233.18.204.43:5140$上海市电信
天元围棋,http://171.213.155.205:9100/rtp/239.94.1.152:5140$四川电信
梨园频道,http://171.213.155.205:9100/rtp/239.94.1.16:5140$四川电信
乐游,http://171.213.155.205:9100/rtp/239.94.1.164:5140$四川电信
乐游,http://180.173.121.65:9999/rtp/233.18.204.47:5140$上海市电信
生活时尚,http://171.213.155.205:9100/rtp/239.94.1.146:5140$四川电信
生活时尚,http://180.173.121.65:9999/rtp/233.18.204.45:5140$上海市电信
都市剧场,http://171.213.155.205:9100/rtp/239.94.1.133:5140$四川电信
都市剧场,http://180.173.121.65:9999/rtp/233.18.204.48:5140$上海市电信
欢笑剧场,http://171.213.155.205:9100/rtp/239.94.1.176:5140$四川电信
欢笑剧场,http://180.173.121.65:9999/rtp/233.18.204.115:5140$上海市电信
欢笑剧场,http://180.173.121.65:9999/rtp/233.18.204.205:5140$上海市电信
欢笑剧场,http://180.173.121.65:9999/rtp/233.18.204.50:5140$上海市电信
游戏风云,http://171.213.155.205:9100/rtp/239.94.1.46:5140$四川电信
游戏风云,http://180.173.121.65:9999/rtp/233.18.204.44:5140$上海市电信
金色学堂,http://171.213.155.205:9100/rtp/239.94.1.165:5140$四川电信
金色学堂,http://180.173.121.65:9999/rtp/233.18.204.66:5140$上海市电信
动漫秀场,http://171.213.155.205:9100/rtp/239.94.1.171:5140$四川电信
动漫秀场,http://180.173.121.65:9999/rtp/233.18.204.46:5140$上海市电信
动漫秀场,http://180.173.121.65:9999/rtp/233.18.204.54:5140$上海市电信
卡酷少儿,http://180.173.121.65:9999/rtp/233.18.204.109:5140$上海市电信
金鹰卡通,http://180.173.121.65:9999/rtp/233.18.204.113:5140$上海市电信
中国交通,http://171.213.155.205:9100/rtp/239.94.0.87:5140$四川电信
中国天气,http://171.213.155.205:9100/rtp/239.94.1.167:5140$四川电信

湖北,#genre#

